"","imdb_title_id","title","year","genre","duration","country","language","director","avg_vote","votes","budget","usa_gross_income","worlwide_gross_income","metascore","reviews_from_users","reviews_from_critics"
"63889","tt2017038","All Is Lost - Tutto è perduto",2013,"Action, Adventure, Drama",106,"USA","English","J.C. Chandor",6.9,74976,9000000,6263670,13627519,87,396,370
"63930","tt2025690","L'ultima tempesta",2016,"Action, Drama, History",117,"USA","English","Craig Gillespie",6.8,60434,80000000,27569558,52099090,58,201,202
"63956","tt2034031","Dimmi quando",2014,"Comedy, Drama, Romance",99,"USA","English","Lynn Shelton",6.4,41259,5000000,1066981,2379154,63,66,128
"63981","tt2039393","The Gambler",2014,"Crime, Drama, Thriller",111,"USA","English","Rupert Wyatt",6,64673,25000000,33680992,39280992,55,185,182
"64048","tt2048824","Old Fashioned",2014,"Drama, Romance",115,"USA","English","Rik Swartzwelder",5.2,1859,600000,1914090,1914090,29,124,44
"64122","tt2059171","13 peccati",2014,"Horror, Thriller",93,"USA","English","Daniel Stamm",6.3,32536,4000000,13809,826913,44,121,107
"64164","tt2063781","Smashed",2012,"Drama",81,"USA","English","James Ponsoldt",6.8,16280,500000,376597,499725,71,45,115
"64249","tt2072233","Sleepless - Il giustiziere",2017,"Action, Crime, Thriller",95,"USA","English","Baran bo Odar",5.6,29261,30000000,20783704,32917353,34,177,115
"64316","tt2077851","Sleepwalk with Me",2012,"Comedy",81,"USA","English","Mike Birbiglia, Seth Barrish",6.8,11448,1000000,2266067,2266067,71,31,127
"64383","tt2083355","The Best Man Holiday",2013,"Comedy, Drama",123,"USA","English","Malcolm D. Lee",6.7,14631,17000000,70525195,72835710,59,65,58
"64385","tt2083383","Di nuovo in gioco",2012,"Drama, Sport",111,"USA","English","Robert Lorenz",6.8,59171,30000000,35763137,48963137,58,192,243
"64399","tt2084989","Upstream Color",2013,"Drama, Sci-Fi",96,"USA","English","Shane Carruth",6.7,30920,50000,444098,587174,81,172,277
"64471","tt2091935","Mr. Right",2015,"Action, Comedy, Romance",95,"USA","English","Paco Cabezas",6.3,49106,8000000,34694,607595,52,227,76
"64524","tt2096673","Inside Out",2015,"Animation, Adventure, Comedy",95,"USA","English","Pete Docter, Ronnie Del Carmen",8.1,592575,175000000,356921711,858071350,94,1034,589
"64527","tt2097307","Hit and Run",2012,"Action, Comedy",100,"USA","English","David Palmer, Dax Shepard",6.1,34150,2000000,13749300,16816647,50,132,176
"64579","tt2103254","Tammy",2014,"Comedy, Romance",97,"USA","English","Ben Falcone",4.9,47138,20000000,84525432,100375432,39,176,147
"64599","tt2106361","Into the Storm",2014,"Action, Adventure, Drama",89,"USA","English","Steven Quale",5.8,63863,50000000,47602194,161502194,44,251,239
"64770","tt2125435","Re della terra selvaggia",2012,"Adventure, Drama, Fantasy",93,"USA","English","Benh Zeitlin",7.3,79817,1800000,12795746,21107746,86,286,640
"64785","tt2126355","San Andreas",2015,"Action, Adventure, Drama",114,"USA","English","Brad Peyton",6.1,207545,110000000,155190832,473990832,43,624,400
"64860","tt2140037","Jane Got a Gun",2015,"Action, Drama, Western",98,"USA","English","Gavin O'Connor",5.9,20477,25000000,1513793,3067531,49,93,156
"64867","tt2140379","Self/less",2015,"Action, Mystery, Sci-Fi",117,"USA","English","Tarsem Singh",6.5,87740,26000000,12279691,31807156,34,193,194
"65021","tt2170299","Bad Words",2013,"Comedy, Drama",89,"USA","English","Jason Bateman",6.6,45913,10000000,7779614,7804337,57,138,125
"65026","tt2170439","Come ammazzare il capo 2",2014,"Comedy, Crime",108,"USA","English","Sean Anders",6.3,155108,42000000,54445357,107645357,40,238,209
"65053","tt2172935","Metallica Through the Never",2013,"Music",93,"USA","English","Nimród Antal",7.2,16363,18000000,3419967,7975812,61,69,112
"65121","tt2180411","Into the Woods",2014,"Adventure, Comedy, Drama",125,"USA","English","Rob Marshall",5.9,129755,50000000,128002372,212902372,69,889,349
"65167","tt2182972","Song One",2014,"Drama, Music",86,"USA","English","Kate Barker-Froyland",5.8,8991,6000000,32251,408918,48,30,46
"65168","tt2183034","Earth to Echo",2014,"Adventure, Family, Sci-Fi",91,"USA","English","Dave Green",5.8,18148,13000000,38934842,45681062,53,163,115
"65348","tt2199571","Run All Night - Una notte per sopravvivere",2015,"Action, Crime, Drama",114,"USA","English","Jaume Collet-Serra",6.6,99967,50000000,26461644,71561644,59,245,256
"65370","tt2203939","Tutte contro lui",2014,"Comedy, Romance",109,"USA","English","Nick Cassavetes",6,129001,40000000,83911193,196710396,39,230,206
"65464","tt2215285","Madea protezione testimoni",2012,"Comedy, Crime, Drama",114,"USA","English","Tyler Perry",4.9,9945,20000000,65653242,66899242,42,52,29
"65517","tt2223990","Draft Day",2014,"Drama, Sport",110,"USA","English","Ivan Reitman",6.8,52760,25000000,28842237,29824199,54,159,167
"65518","tt2224004","Sweetwater",2013,"Thriller, Western",95,"USA","English","Logan Miller, Noah Miller",6.2,5685,7000000,6147,6147,38,43,47
"65548","tt2226597","Il domani tra di noi",2017,"Action, Adventure, Drama",112,"USA","English","Hany Abu-Assad",6.4,64703,35000000,30348555,62832209,48,333,168
"65564","tt2229499","Don Jon",2013,"Comedy, Drama, Romance",90,"USA","English","Joseph Gordon-Levitt",6.5,225914,3000000,24477704,39439355,66,342,377
"65573","tt2231138","Velvet - Il prezzo dell'amore",2013,"Drama",84,"USA","English","Neil LaBute",5.8,1721,2000000,6420,6420,54,21,32
"65648","tt2239832","La guerra dei sessi",2014,"Comedy, Romance",106,"USA","English","Tim Story",5.8,19525,24000000,65182182,70181428,38,42,53
"65694","tt2245084","Big Hero 6",2014,"Animation, Action, Adventure",102,"USA","English","Don Hall, Chris Williams",7.8,400882,165000000,222527828,657868146,74,564,413
"65723","tt2247476","Il tempo di vincere",2014,"Drama, Sport",115,"USA","English","Thomas Carter",6.7,15108,15000000,30127963,30138754,41,76,52
"65876","tt2267998","L'amore bugiardo - Gone Girl",2014,"Drama, Mystery, Thriller",149,"USA","English","David Fincher",8.1,833485,61000000,167767189,369330363,79,1475,623
"65877","tt2268016","Magic Mike XXL",2015,"Comedy, Drama, Music",115,"USA","English","Gregory Jacobs",5.6,51177,14800000,66013057,117813057,60,143,238
"65922","tt2275471","A Perfect Man",2013,"Drama, Romance",95,"USA","English","Kees Van Oostrum",5.2,1931,5000000,7117,14147,31,8,9
"65957","tt2279339","Natale all'improvviso",2015,"Comedy, Fantasy, Romance",107,"USA","English","Jessie Nelson",5.8,19747,17000000,26302731,42426912,31,108,111
"66050","tt2292959","The Canyons",2013,"Drama, Thriller",99,"USA","English","Paul Schrader",3.8,10342,250000,56825,270185,36,101,170
"66056","tt2294449","22 Jump Street",2014,"Action, Comedy, Crime",112,"USA","English","Phil Lord, Christopher Miller",7,339248,50000000,191719337,331333876,71,354,349
"66077","tt2295722","Falcon Rising",2014,"Action, Adventure, Crime",103,"USA","English","Ernie Barbarash",5.8,7776,4500000,11774,267476,49,58,37
"66099","tt2298394","Free the Nipple",2014,"Comedy, Drama",78,"USA","English","Lina Esco",3.9,1627,937000,4198,4198,33,19,16
"66141","tt2304459","23 Blast",2014,"Drama, Family, Sport",98,"USA","English","Dylan Baker",6.5,1700,1000000,549185,549185,45,6,15
"66150","tt2305051","Wild",2014,"Biography, Drama",115,"USA","English","Jean-Marc Vallée",7.1,117835,15000000,37880356,52501541,76,315,366
"66177","tt2309260","The Gallows - L'esecuzione",2015,"Horror, Mystery, Sci-Fi",81,"USA","English","Travis Cluff, Chris Lofing",4.2,18980,100000,22764410,42964410,30,181,174
"66205","tt2312718","Homefront",2013,"Action, Crime, Thriller",100,"USA","English","Gary Fleder",6.5,105123,22000000,20158898,48449416,40,197,217
"66249","tt2318092","Un amore senza fine",2014,"Drama, Romance",104,"USA","English","Shana Feste",6.3,39808,20000000,23438250,34718173,30,81,101
"66255","tt2318527","Hell Baby",2013,"Comedy, Horror",98,"USA","English","Robert Ben Garant, Thomas Lennon",4.9,8803,2500000,8785,8785,41,60,76
"66292","tt2322441","Cinquanta sfumature di grigio",2015,"Drama, Romance, Thriller",125,"USA","English","Sam Taylor-Johnson",4.1,293277,40000000,166167230,569651467,46,1551,404
"66335","tt2326574","The Identical",2014,"Drama, Music",107,"USA","English","Dustin Marcellino",5.2,2495,16000000,2827666,2840991,25,76,38
"66427","tt2334873","Blue Jasmine",2013,"Drama",98,"USA","English","Woody Allen",7.3,189028,18000000,33405481,99104804,78,460,446
"66428","tt2334879","Sotto assedio - White House Down",2013,"Action, Drama, Thriller",131,"USA","English","Roland Emmerich",6.4,203010,150000000,73103784,205366737,52,509,355
"66505","tt2345112","Parkland",2013,"Drama, History, Mystery",93,"USA","English","Peter Landesman",6.4,14903,10000000,653651,1412181,51,109,143
"66526","tt2349144","Mississippi Grind",2015,"Comedy, Drama",108,"USA","English","Anna Boden, Ryan Fleck",6.4,20077,6000000,130541,422746,77,76,130
"66569","tt2355495","A piedi nudi",2014,"Comedy, Drama, Romance",90,"USA","English","Andrew Fleming",6.6,22669,6000000,15071,15071,22,76,28
"66609","tt2358925","Affare fatto",2015,"Comedy, Drama",91,"USA","English","Ken Scott",5.4,31465,35000000,10219501,14431253,32,119,98
"66614","tt2359137","Last Ounce of Courage",2012,"Drama, War",101,"USA","English","Darrel Campbell, Kevin McAfee",3.7,1940,1200000,3329674,3329674,11,95,10
"66640","tt2361509","Lo stagista inaspettato",2015,"Comedy, Drama",121,"USA","English","Nancy Meyers",7.1,213024,35000000,75764672,194564672,51,492,267
"66678","tt2364897","The Disappointments Room",2016,"Drama, Horror, Thriller",91,"USA","English","D.J. Caruso",3.9,8953,15000000,2423468,5745040,31,92,59
"66683","tt2365580","Che fine ha fatto Bernadette?",2019,"Comedy, Drama",109,"USA","English","Richard Linklater",6.5,14927,20000000,9198356,10821453,51,156,134
"66689","tt2366608","Lost River",2014,"Drama, Fantasy, Mystery",95,"USA","English","Ryan Gosling",5.7,16812,2000000,45431,615500,42,122,204
"66808","tt2378507","Il castello di vetro",2017,"Biography, Drama",127,"USA","English","Destin Daniel Cretton",7.1,28388,9000000,17273059,22088533,56,142,162
