director,avg_vote
Clarence G. Badger,6.6
Arnold Fanck,6.7
Harry Edwards,6
A. Edward Sutherland,6.4
Frank Tuttle,6.9
Clarence Brown,6.7
Teinosuke Kinugasa,7.4
Alfred Hitchcock,7.3
Frank Tuttle,6.3
Guido Brignone,6.7
Rex Ingram,6.7
Victor Fleming,6.8
Rex Ingram,6.8
Vsevolod Pudovkin,7.5
Fritz Lang,8.3
"Boris Barnet, Fyodor Otsep",6.8
Dallas M. Fitzgerald,5.7
Amo Bek-Nazaryan,7
Jean Renoir,6.8
Herbert Wilcox,5.2
James Cruze,6.7
Lev Kuleshov,7.7
Yakov Protazanov,7.1
Tod Browning,6.6
Robert Wiene,6
Victor Sjöström,7.7
Millard Webb,6.5
John Ford,5.8
"Grigoriy Kozintsev, Leonid Trauberg",6.7
Malcolm St. Clair,6.8
Ernst Lubitsch,7
Gregory La Cava,6.2
George Fitzmaurice,6.6
D.W. Griffith,6.2
"William Beaudine, Tom McNamara",7.3
Frank Capra,6.7
Henrik Galeen,6.9
F.W. Murnau,7.1
"Fred Niblo, Mauritz Stiller",6.9
John Ford,7.5
Monta Bell,6.9
Harry Edwards,6.1
Cecil B. DeMille,6.6
Edward Sedgwick,6.4
Raoul Walsh,6.8
Henry King,7
Frank Urson,7.5
Henrik Galeen,6.2
John S. Robertson,5.9
"Ivan Pravov, Olga Preobrazhenskaya",7.1
"Rowland V. Lee, Mauritz Stiller",7
Alan Crosland,6.9
Gustav Ucicky,6.4
John S. Robertson,6.8
Alexandre Volkoff,6.8
Paul Leni,7.1
Frank Urson,7.1
"Frank Lloyd, Josef von Sternberg",6.6
"James W. Horne, Buster Keaton",7.1
Boris Barnet,7.2
Alfred Hitchcock,6.1
Millard Webb,4.8
Alfred Hitchcock,5.7
Sam Wood,5.6
Roy Del Ruth,6.4
F. Richard Jones,6.9
"Clyde Bruckman, Buster Keaton",8.1
Dorothy Arzner,6.7
Jean Epstein,7
Aleksandr Medvedkin,7.4
Maurice Elvey,7.1
Mauritz Stiller,6.6
Victor Fleming,6.4
"Clarence G. Badger, Josef von Sternberg",7.3
