director,avg_vote
Jim Doyle,6.2
David Portlock,5.6
Helle Ryslinge,4.5
Sal Ciavarello,4.6
Chris Columbus,7.6
Adriano Stuart,5
Kiyoshi Kurosawa,7
Kiyoshi Kurosawa,6.6
Alessandro Piva,7.2
Elo Havetta,6.9
Luiz Fernando Carvalho,7.7
Betse De Paula,6.2
Tony Scott,6.1
Þráinn Bertelsson,7.2
Neville de Almeida,5
Saeed Akhtar Mirza,7
Ed Decter,5.9
Petr Václav,6.2
Hannu Seikkula,4.6
Saeed Akhtar Mirza,7.7
Paulo Sérgio de Almeida,4.6
K. Asher Levin,2.5
Jan Verheyen,6
Teresa Prata,6.8
Eran Riklis,7.1
Allan Moyle,5.6
Helena Taberna,6.2
Larry Clark,6.9
Charles Shyer,6.1
Mani Ratnam,8.3
Álvaro Fernández Armero,5.1
Robert Dhéry,4.7
Alfonso Arandia,5.5
Danny Leiner,5.5
Andrzej Bartkowiak,5.6
Gennadiy Vasilev,7
James Toback,4.9
Babubhai Mistry,5.7
Priyadarshan,8.2
Nick Hamm,6.2
Rajiv Menon,7.6
Michael Cuesta,7.1
Alan B. McElroy,4.7
George B. Seitz Jr.,6.9
Carlos Enrique Taboada,7.3
James Hill,6.6
Alexandre Arcady,5.3
Roger Kahane,5.9
Pierre Salvadori,6.5
"Lana Wachowski, Lilly Wachowski",6.8
Mike Sedan,5.2
Johanna Demetrakas,4.9
Sébastien Lifshitz,6.7
Scott Ziehl,4.8
Guy Jenkin,6.6
Peter Gilbert,6
Laurent Heynemann,4.8
Jacques Rivette,6.9
Jamie Blanks,4.9
Richard Linklater,7.8
D. Paul Thomas,6.3
Dirk Benedict,5.9
Erik Wedersøe,4.8
"Joel Coen, Ethan Coen",7.5
Laurent Firode,6.8
Jaime Chávarri,5.9
Charles Saunders,6.1
Sharon Maguire,6.7
Lloyd A. Simandl,3.9
David Caffrey,5.8
Mohammad-Ali Talebi,7.5
Randy Redroad,7
Milcho Manchevski,6.6
Catherine Breillat,6.5
Nobuyuki Shintani,6.2
Sidney J. Furie,5.2
Darren Doane,5.8
Jon Gunn,5.3
Donald M. Jones,4.8
Kornél Mundruczó,5.6
John Henderson,5.3
Michael Hjorth,5.4
Anne Villacèque,6
Francis Veber,7
John Putch,5.7
Pierre-Olivier Scotto,5.2
Scott Reynolds,6.4
Kunihiko Ikuhara,7.2
Ariel Rotter,6.9
Katsuyuki Motohiro,6.9
John McNaughton,5.7
Rob Minkoff,5.5
Dana Lustig,6.3
David L. Cunningham,7
Brendan Keown,4.3
Serge Rodnunsky,1.8
Silvio Pollio,4
David Wain,6.6
Michael Lehmann,5.6
Cory McAbee,7.1
Achero Mañas,7.2
Jeff Macpherson,6.7
Arabinda Mukhopadhyay,7.7
Bohdan Sláma,6.6
Lone Scherfig,7
Andrew Lau,5.9
Terry Cunningham,3.7
Shinji Aoyama,7.8
Patrick Harkins,5.7
Harris Done,5.3
Steve Rash,6.2
Alan Rudolph,4.7
Les Mayfield,6
Vernon Sewell,6.8
Pascal Thomas,6.1
"Johnnie To, Ka-Fai Wai",6.8
Eric Schaeffer,6.3
Allen Plone,4.2
Michael Krueger,4.6
Jean Rollin,4.9
Gérard Corbiau,6.9
Darrell Roodt,5.2
Nikos Nikolaidis,6.2
,3
Dominic Sena,6.5
Lyndon Chubbuck,6.8
Edward Yang,8.2
Hrishikesh Mukherjee,7.5
Eric Hendershot,4.1
Blair Treu,5.2
"Bob Cea, Andrzej Krakowski",3
Pinaki Bhushan Mukherji,7.4
Jan Sverák,7.2
Mariusz Trelinski,5.1
Andrucha Waddington,6.9
Leslie Greif,5.3
Manoj Agrawal,5.3
I.V. Sasi,7
Hrishikesh Mukherjee,6.7
Raúl García,6.3
Hrishikesh Mukherjee,7.6
Hrishikesh Mukherjee,7.3
"Fernando Fernán Gómez, José Luis García Sánchez",6
Jonathan Zarantonello,4.2
René Cardona Jr.,7
Jochen Hick,5.1
Alexander Payne,6.6
Ho Yim,5.9
Waldemar Dziki,5.7
Tom DeSimone,3.9
Mark Roper,3.6
Hrishikesh Mukherjee,8.2
David R. Bowen,5.6
Jeff Broadstreet,4.9
Ahathian,6.1
Gillian Ashurst,5.2
Pat Bishow,4.3
Wai-Man Yip,6.4
James Glenn Dudelson,3.4
Shankar Nag,7.8
Tony Goldwyn,6.1
Jôji Iida,6
Menelaos Karamaghiolis,5.5
Per Fly,7.5
Gillian Armstrong,6.4
"Akhenaton, Kamel Saleh",5.9
Yurek Bogayevicz,6.8
Tom Kinninmont,3.9
"Richard Glatzer, Wash Westmoreland",5.6
Peter B. Good,1.8
J.S. Cardone,5.3
Paula van der Oest,6.2
Werner Herzog,6.4
Gani Müjde,5.8
Léa Pool,6.9
"Hannes Lintrop, Renita Lintrop",7
Ermanno Olmi,7
Shankar Nag,7.4
Paula van der Oest,6.1
P.J. Posner,5.8
Shankar Nag,7.6
Manuel Gómez Pereira,5.3
Shankar Nag,7.5
Steve Guttenberg,5.4
Alfredo Zacarías,3.8
Michael Rymer,3.6
Mircea Moldovan,6.5
Mike Cartel,5.1
John McKay,5.8
Hayao Miyazaki,8.6
Fisher Stevens,5
Allison Anders,6.8
Masashi Nagadoi,4
Jean Becker,6.5
Zelito Viana,6.2
John Woo,6.1
Rob Spera,3.2
Austin Chick,5.9
Alfonso Cuarón,7.6
Alfredo B. Crevenna,6.4
Bobby Roth,4.7
Steve Beck,5.6
K. Viswanath,7.6
Kodanda Rami Reddy A.,7.3
K. Raghavendra Rao,6.5
Dennie Gordon,6
T.S. Nagabharana,7.1
E.V.V. Satyanarayana,6.3
Alejandro G. Iñárritu,8.1
Matt Berman,3
Kodanda Rami Reddy A.,7
Jayant Paranji,7.1
Vijaya Baapineedu,4.7
Paul Hunter,5.5
David Dhawan,4.7
Kodanda Rami Reddy A.,7.8
Jandhyala,8.1
Roch Stéphanik,7
Gunasekhar,7.1
Kwon-taek Im,7.1
Kevin Reynolds,7.8
Bradford May,3.4
Quentin Lee,5.4
Eric Hannah,6
Atif Yilmaz,6.2
Matthew George,4.9
Renos Haralambidis,7.5
Vijaya Baapineedu,7.8
K. Raghavendra Rao,7.3
Donovan Winter,5.8
Wen Jiang,8.2
Muthyala Subbaiah,6.3
K. Raghavendra Rao,5.1
Kodanda Rami Reddy A.,7.4
Vijaya Baapineedu,6.6
Ken Barbet,4.1
Kari Väänänen,6.9
K. Muralimohana Rao,6.7
Kodanda Rami Reddy A.,6.9
K. Raghavendra Rao,5.9
Narayana Rao Dasari,6.5
"DeMane Davis, Khari Streeter",6.2
K. Raghavendra Rao,5
Suresh Krishna,6.8
Rob Morrow,6.2
Kodanda Rami Reddy A.,7
Joel Silverman,4.3
Pavel Lungin,7
Dean Gates,4.8
Peter Cattaneo,6.1
"Jacques Rivette, Suzanne Schiffman",7.8
Kodanda Rami Reddy A.,7.7
Alan Wade,4.4
Christian Merret-Palmair,6.4
Ravi Raja Pinisetty,6.6
K. Raghavendra Rao,6.9
Drew Ann Rosenberg,5.2
Robert McGinley,5
K.S. Ravikumar,6.5
K. Viswanath,7.3
K. Viswanath,8.3
Samira Makhmalbaf,6.9
Yves Lavandier,6.6
Ravikant Nagaich,6.5
Kodanda Rami Reddy A.,6.8
Kodanda Rami Reddy A.,7.2
Rodney Gibbons,5
Ravi Raja Pinisetty,7.3
Tony Piccirillo,6.5
Nana Dzhordzhadze,6.7
Lekh Tandon,6.6
Shakti Samanta,7.1
Rory B. Quintos,7.4
Pascal Légitimus,3.7
"Thomas Jahn, Til Schweiger",5.1
Sagar Sarhadi,7.3
Lee Tamahori,6.1
Barry Sonnenfeld,6.5
Brij,7
Takashi Miike,6.3
Chris Ver Wiel,6.4
Lars Kraume,5.8
Peter Hyams,4.9
Arun Kaul,7.1
Richard Kelly,8
Greg Pritikin,6.7
Jerzy Stuhr,7.1
Vladimír Michálek,5.4
Neal Slavin,6.7
Thorsten Wettcke,5.1
Fazil,6.9
Tom Tykwer,7
Gulzar,6.5
Lasse Spang Olsen,6.8
Agnieszka Holland,6.3
"Anil, Babu Pisharadi",6.2
Umesh Mehra,6
Benny Toraty,6.9
Nikola Rudarov,7.4
Anil Ganguly,7.4
Dominique Cabrera,6.3
Raoul Peck,7.2
Sandra Nettelbeck,7.2
Djordje Milosavljevic,5.8
Joshiy,7.9
Joshiy,7.2
Kamal Swaroop,7.2
Sathyan Anthikad,6.3
Lal Jose,6.9
Mahesh Bhatt,4.8
Connie Walter,6.7
Alain Corneau,4.7
Mark Herman,6.7
Feroz Khan,7
Michael Dugan,3.8
James Gavin Bedford,5
John McTiernan,3.1
David Dhawan,6
Moufida Tlatli,6.6
A.P. Nagarajan,7.3
K. Viswanath,6.9
Zdenek Troska,6.7
Viji Thampi,7.4
Harikumar,7.3
A.P. Nagarajan,7.4
A.P. Nagarajan,7.8
Gregory Poirier,5.4
Zako Heskiya,8.3
Ivanka Grybcheva,8.9
David Lister,5.1
Serge Le Péron,6.3
Otar Iosseliani,7.3
Julian Schnabel,7.2
Henry Bean,7.2
Chitrapu Narayana Rao,7.5
Hank Whetstone,5.7
Dick Maas,4.6
Raja Nawathe,7.1
Yves Simoneau,5.1
Todd Field,7.4
Ric Roman Waugh,5
Jesse Vaughan,4.6
Raja Nawathe,6.5
Wendell Morris,6.4
Joseph L. Anderson,7
Fabián Bielinsky,7.9
Chang-dong Lee,7.7
Garry Marshall,6.3
Sergei Bodrov,5.8
Filip Renc,6.7
Jay Chandrasekhar,7.1
Guy Fergusson,5.6
Sergiu Nicolaescu,6.8
Bruce Wagner,4.8
Alejandro Agresti,6
"Cristian Bernard, Flavio Nardini",7.2
Ravi Raja Pinisetty,5.5
Vikram Bhatt,3.1
E.V.V. Satyanarayana,5.2
Ram Gopal Varma,7.1
Ram Gopal Varma,6.4
Vamshi,7.5
Raj Kanwar,4.9
Puri Jagannadh,7.2
David Dhawan,5
Åke Sandgren,5.3
Daniel Burman,6.4
Khalid Mohamed,6.1
"Espen Eckbo, Henrik Elvestad",7.3
Muthyala Subbaiah,5.6
"Uschi Ferstl, Florian Gallenberger",6.3
Christian Petzold,7
Pedro Telechea,5.3
Pat Bermel,4.5
Christoph Stark,6.2
K. Viswanath,6.5
Karan Johar,7.4
Rakesh Roshan,5.8
Dito Tsintsadze,6.5
"Gabrielle Burton, Maria Burton",5.6
Eric Hendershot,5.1
Vidhu Vinod Chopra,6.7
Hal Hartley,6.1
Albert Falzon,6.9
Arjun Sablok,5
Vladimír Slavínský,7.4
Kader Ayd,3.8
Govind Nihalani,7.2
Ondrej Trojan,7
T.V. Chandran,8.1
Ram Gopal Varma,6.3
Erich Waschneck,6.2
Michael Herbig,6.7
Marco Petry,6.4
"Amirjan, Ram Gopal Varma",8.1
Srinivasa Rao Bhimaneni,7.1
K. Viswanath,8
Stephen M. Kienzle,5
A. Karunakaran,8.2
Peter Rowe,5.4
Vanessa Jopp,6.9
Subhash Ghai,4.4
"Antonio Manetti, Marco Manetti",5.2
Esther Gronenborn,6.4
Predrag Antonijevic,4.5
Lee Davis,5.8
Michael Mann,6.8
P. Padmarajan,7.8
P. Padmarajan,7.2
Jim Wynorski,3.3
Peter Lindholm,6.1
John Cameron Mitchell,7.7
P. Padmarajan,8
Miha Hocevar,6.9
P. Padmarajan,7.5
Jarmo Lampela,6.8
P. Padmarajan,7.6
P. Padmarajan,7.1
Justin Edgar,4.2
Aleksi Mäkelä,4.8
P. Padmarajan,8.2
P. Padmarajan,8.4
Olivier Dahan,5.2
Greg Yaitanes,4.5
Timo Koivusalo,6.7
Olli Saarela,6.3
David Klass,6.9
Rachel Samuels,6
Dejan Zecevic,6.3
P. Padmarajan,7.2
P. Padmarajan,8.6
Kai Lehtinen,5.5
"Frank Avianca, Steve Bono",5
Rami Dvir,3.4
"Béla Tarr, Ágnes Hranitzky",8.2
Servando González,7.1
Arto Lehkamo,4.5
Jandhyala,8.9
K. Raghavendra Rao,8
Santosh Sivan,6.5
"Virginie Despentes, Coralie",4.4
Khosrow Sinai,7
Andrew Repasky McElhinney,4.2
Stephen Daldry,7.7
Aleksey Uchitel,7
Harold Becker,5.6
Tom Logan,6.1
Michael Hawes,5.4
Shundo Ohkawa,4.4
Lawrence Kasanoff,1.5
Sande Zeig,4.6
Kai Wessel,6
Kundan Shah,2.8
Jandhyala,6.8
Udayan Prasad,5.1
Martin Schmidt,3.4
K. Raghavendra Rao,6.9
Kadiri Venkata Reddy,9.2
Singeetam Srinivasa Rao,6.8
Kote Mikaberidze,7.5
"Gunasekhar, Gunasekhar",4.4
Khan Ataur Rahman,7.5
Azazel Jacobs,6
Aparna Sen,7.4
Jon Bokenkamp,5.5
Harry Sinclair,6.7
"Anastasia Lapsui, Markku Lehmuskallio",6.4
K. Viswanath,7.5
K. Viswanath,8.1
Amol Palekar,7
Miles Swain,7.1
Todd Solondz,6.8
Anil Mattoo,7.2
Rakhshan Banietemad,7.3
Julie Davis,6.5
Rick Stevenson,4.1
Alain Chabat,6.6
John Stockwell,6.5
B. Ramakrishnaiah Panthulu,7.1
Oliver Hirschbiegel,7.7
Gary Hardwick,6.4
Harry Shearer,4
Andrew Gurland,6.1
Ramachandra Rao P.N.,6.7
Rob Pritts,4.7
"Johnnie To, Ka-Fai Wai",5.9
"Scott McGehee, David Siegel",6.5
"Jean-Julien Chervier, Agnès Obadia",5.7
Tom DiCillo,5.7
Mitch Davis,6.4
P.G. Viswambharan,4.5
Martin Eigler,5.4
Raj Kanwar,5.2
Dejan Acimovic,6.8
Shakeel Noorani,5.1
B. Ramakrishnaiah Panthulu,8
Kaige Chen,5.5
Cesc Gay,6.6
Kundan Shah,5.9
Ed Anders,3.6
Saul Metzstein,6.9
Robert Luketic,6.3
Glauco Del Mar,4.4
Joël Séria,6.4
Phillip J. Roth,3.3
Adam Rifkin,5.9
Dan Kay,6.5
Karl Kozak,3.7
Johnnie To,6.9
Jerry Zucker,6.4
J.P. Dutta,5.4
Avi Nesher,4.8
Mike Binder,6.8
John Whitesell,5.4
Fabrice Genestal,5.2
A. Muthu,3
Adrian Lyne,6.7
B. Ramakrishnaiah Panthulu,7.5
Barbet Schroeder,6.8
Florian Flicker,6.7
"Joseph Kurtz, Kenneth Mader",2.3
Daniel Minahan,6.5
Sam Pillsbury,5.7
Jeroen Krabbé,6.7
Heywood Gould,5
Ivan Reitman,6.1
Reza Parsa,7.1
Benny Chan,4.8
David Jamison,5.5
Todd Stephens,6.9
Gregory Hoblit,6.3
Donald Petrie,6.4
Suresh Krishna,7.2
Paul Cox,7.3
Dayal Nihalani,4.3
Nick Cassavetes,7.1
Timothy J. Nelson,6.3
Bob Spiers,4.6
Irving Schwartz,4.4
Jamie Thraves,5.8
Robert Downey Sr.,6.3
Douglas Jackson,5
Jaromír Pleskot,6.9
Deepak S. Shivdasani,4.3
Singeetam Srinivasa Rao,8.6
Klaus Knoesel,4.5
Rick Jordan,3.8
Marc Fusco,5.5
Stephen Furst,4.5
Hamish Rothwell,6.7
Vimal Kumar,4.6
Hark Tsui,6.9
Jacek Bromski,6.1
Roland Suso Richter,7.7
Péter Tímár,5.6
Luis Esteban,2.7
"Vamshi, Venkat Maddirala",7.7
Peeter Simm,6.9
Sergey Tarasov,6.8
Franz Antel,6.5
Rolando Klein,7
Ibolya Fekete,6.9
Constantine Giannaris,6.6
Juan Gerard,5.9
Salomé Breziner,4.8
Sathyan Anthikad,6.7
Maurizio Nichetti,6.1
Rob Zombie,6.1
Chris Jaymes,6
Ram Gopal Varma,6.1
"Yolanda García Serrano, Juan Luis Iborra",7
José Luis Borau,6.1
Marcus Adams,4.7
Priyadarshan,6.6
L.V. Prasad,8.5
Hussein Kamal,5.6
Craig Clyde,4.8
David Trueba,5.4
Jandhyala,7.8
Rolfe Kanefsky,4.1
Joshiy,6.4
Mike Mitchell,5.4
Esmayeel Shroff,5.1
Jim Fitzpatrick,6.9
Wayne Wang,5.3
Lütfi Akad,8
Serif Gören,6.4
Singeetam Srinivasa Rao,8.4
Stefan Ruzowitzky,4.8
Terry Green,6
E.V.V. Satyanarayana,7.2
Natuk Baytan,7.6
Natuk Baytan,7
Theo van Gogh,6.4
Jack Sholder,4.6
Osman F. Seden,7.7
Guddu Dhanoa,5
Orhan Aksoy,6.3
Erdogan Tokatli,6.5
Gregor Jordan,6.8
Belinda Chayko,4.9
Felipe Degregori,6.3
Guy Gilles,7.1
Raoul Ruiz,7.1
Zeki Ökten,7.2
Kartal Tibet,8.1
Kartal Tibet,7.3
Kartal Tibet,7
Osman F. Seden,7.3
Zeki Ökten,7.4
Kartal Tibet,6.8
Dervis Zaim,7.1
Phillip Noyce,7.4
Memduh Ün,7.1
Natuk Baytan,7.2
Tim Blake Nelson,7
Kartal Tibet,6.7
Kartal Tibet,7
Ertem Egilmez,9.3
Ertem Egilmez,9
Ertem Egilmez,8.7
Ertem Egilmez,8.8
Zeki Ökten,6.4
Zeki Ökten,6.3
Scott Hicks,6.9
David Mamet,6.5
Kartal Tibet,6.1
Memduh Ün,7.2
Zeki Ökten,8.4
Kartal Tibet,6.6
Kartal Tibet,6.7
Atif Yilmaz,8.7
Ugur Inan,7
Orhan Aksoy,6.9
Kartal Tibet,7.1
Natuk Baytan,8.1
Vasily Zhuravlyov,6.9
Atif Yilmaz,7.1
Ertem Egilmez,8.3
Philippe Harel,6.5
Jordan Melamed,7.3
Ertem Egilmez,7.8
Pascal Jongen,3.7
Ergin Orbey,7.3
Giorgos Katakouzinos,6.2
J.B. Rogers,6.4
Juan Vicente Córdoba,6.5
Rob Green,5.5
"Aldo Baglio, Giacomo Poretti",7.1
Ray Brady,6
Fiona Mackenzie,4.2
Fred Williamson,3.8
James Bolton,5.7
Antonio Cuadri,6
Doug Finelli,5.2
"John Schuermann, Pete Schuermann",4.2
Mel Smith,6.2
Kartal Tibet,6.7
Osman F. Seden,7.6
Hyuk Byun,5.9
Osman F. Seden,7.2
E.V.V. Satyanarayana,8.2
"Temuri Chkheidze, Keti Dolidze",7.4
David Dhawan,5.1
Daniel Alfredson,4.6
Fred Schepisi,6.9
Philippe Lioret,6.5
Dariush Mehrjui,5.8
"Julia Montejo, Jesus Nebot",5.8
Ertem Egilmez,7.2
Sang-soo Hong,7
Fred Olen Ray,4.3
Kartal Tibet,7.3
Roman Polanski,8.5
Marcy Ronen,5.3
Memduh Ün,7
"Shyam Ramsay, Tulsi Ramsay",6.4
Rob Bowman,6.2
Tim McCann,6.5
Jean-Pierre Ponnelle,7.8
Catherine Corsini,6
Ertem Egilmez,8.8
Kartal Tibet,6.6
Kartal Tibet,6.3
Natuk Baytan,7.7
Ertem Egilmez,8
Atif Yilmaz,7.4
Kartal Tibet,7.6
Zeki Ökten,6.9
Kranthi Kumar,7.7
Kartal Tibet,6.6
J. Randall Argue,5
Fred Olen Ray,4.6
Kartal Tibet,7
Stuart Baird,6.4
Ertem Egilmez,8.9
Kartal Tibet,7.1
Natuk Baytan,6.6
Ertem Egilmez,7.2
"Brendan Malloy, Emmett Malloy",6.4
Natuk Baytan,7.8
Tony Grounds,5.5
Kartal Tibet,9
Clare Peploe,5.8
Kartal Tibet,7.2
Roger Kumble,5.2
Kartal Tibet,6.1
Orhan Aksoy,6.7
Chung-Man Yee,6.1
Simon Chung,5.5
Orhan Aksoy,6.2
Ertem Egilmez,7.2
Natuk Baytan,7.7
Zeki Ökten,7.3
Osman F. Seden,7.8
Orhan Aksoy,6.4
Guido Pieters,6.5
Kartal Tibet,8.4
Kartal Tibet,6.8
Zeki Ökten,8.6
Kartal Tibet,7.2
Natuk Baytan,7.7
Roberto Farias,5.8
"Alan Cumming, Jennifer Jason Leigh",6.2
Alberto Lecchi,5.9
Rahul Rawail,6.6
Roman Coppola,6.2
Martin Lagestee,5.5
Ettore Scola,6.9
Marc S. Grenier,5.2
Moody Shoaibi,5
Raoul Ruiz,6.6
John Irvin,5.3
"Kil-in Kim, Sang-ok Shin",6.8
Julio Medem,7.1
Reha Erdem,7.6
Rakesh Roshan,7.1
Ian David Diaz,6.1
Bruno Podalydès,6.5
Carlos Galettini,5.6
Prathap Pothen,6.2
"Ki Mo Jung, Eung Suk Kim",4.8
Pieter Verhoeff,7
"José Antonio Garcia, Ícaro Martins",5.5
Ken Hastings,4.2
"José Antonio Garcia, Ícaro Martins",4.9
Bobby Moresco,5.6
Kakhaber Kakabidze,6.9
Frans Zwartjes,6.3
Kuku Kohli,5.9
Michael Haneke,7.5
Bernard Hirschenson,4.6
John Glen,4.4
Damjan Kozole,5.3
Roberto Farias,5.6
Rafi Pitts,6.4
Lyudmil Kirkov,7.1
"Marzieh Boroomand, Mohammad-Ali Talebi",7.3
Olivier Megaton,5.3
Gennadiy Kazanskiy,7.1
Mathieu Amalric,6.4
"Boris Bushmelev, Anatoli Markelov",6.7
Yogesh Ishwar,4.1
Vinayan,6.3
Priyadarshan,7.1
Priyadarshan,7.6
Priyadarshan,7.2
Priyadarshan,7.1
Priyadarshan,7.3
Lal Jose,6.7
Robert M. Young,5.9
Álex de la Iglesia,7.3
Jafar Panahi,7.4
Harry Baweja,4.7
Dharmesh Darshan,6.5
Raj Kanwar,3.7
Hansal Mehta,5
Achim von Borries,7
Shaji Kailas,6.5
Sharunas Bartas,7
Siddique,7.5
Clara Law,6.9
"Masaaki Tezuka, Ishirô Honda",6.2
Alfred Rasser,7.1
Satish Kaushik,5.6
Priyadarshan,6.4
Shugo Fujii,5.6
Ivanka Grybcheva,7.7
Priyadarshan,8.4
Rajeev Kumar,7.1
Neeraj Vora,5.3
Priyadarshan,8.6
Mahesh Manjrekar,6.1
Tom Zuber,3.6
Stephen Frears,6.9
Fruit Chan,7.1
Priyadarshan,7.3
Priyadarshan,7.9
Priyadarshan,7.5
Priyadarshan,7.4
Priyadarshan,7.1
"Priyadarshan, R.R. Shinde",6.9
Kamal,7
Bob Clark,6.3
Priyadarshan,6.3
Joshiy,7
"Anil, Babu Pisharadi",6.1
Arturo Ripstein,6.7
Roberto Benigni,4.4
Priyadarshan,6.8
Norifumi Suzuki,6.1
Ki-duk Kim,7
Esben Storm,4.1
Priyadarshan,7.9
Priyadarshan,8.1
Maria Ripoll,6.7
Sibi Malayil,6.5
Buddhadev Dasgupta,7
Priyadarshan,7.8
Vinayan,6.9
Joshiy,5.9
Sathyan Anthikad,7.6
Priyadarshan,7.7
Eduard Bosch,6.1
"Danny Graves, Richard Wenk",5.2
Shyam Benegal,6.2
J. Michael Couto,5
Luke Greenfield,4.8
John Singleton,6.4
Alex Monty Canawati,5.9
Murray Fahey,3.4
Panos Glykofrydis,7.4
Roman Kachanov,7.2
Guillermo del Toro,7.4
Massimo Ceccherini,5
William G. Stewart,4.9
David A. Prior,2.2
Goran Paskaljevic,6.7
Patrice Chéreau,6.1
Junji Sakamoto,6.8
Kara Harshbarger,5.5
Chuck Comisky,3.2
"Justin Alexandre, Jason DeParis",3.9
Marilou Diaz-Abaya,7.2
Lieven Debrauwer,6.9
Neil LaBute,6.3
Robert Vernon,5.5
Rose Troche,6.5
Jack N. Green,4.2
Mark Savage,5.5
Melissa Monet,3.1
"Bobby Farrelly, Peter Farrelly",5.9
Andy Tennant,6.2
Maurice Elvey,6.9
Nikos Zervos,3.1
Woody Allen,6.7
Mario Andreacchio,4.7
Jeff Dunn,3.5
Denis Rabaglia,6.7
Shuo Wang,6.9
Alain Guiraudie,6.7
Tomás Vorel,6.6
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",5.4
Vedantam Raghavaiah,7.4
Franziska Buch,6
Andi Rogenhagen,5.3
"George Santo Pietro, Fred Olen Ray",4.3
Mike Mendez,5.5
Bruce Sweeney,6.1
Luiz Carlos Lacerda,6
Govind Moonis,7.9
Alan Ari Lazar,5.4
Sam Mendes,7.7
Clark Johnson,6
David Buckley,5.5
Keenen Ivory Wayans,5.3
Bille August,6.9
Santiago Segura,6.4
Francis Leclerc,7.1
Jorge Alí Triana,6.3
Krzysztof Zanussi,7.1
"Iván Kapitány, Péter Rudolf",7.7
E.V.V. Satyanarayana,7.8
Alexander Payne,7.1
K. Raghavendra Rao,5.8
K. Raghavendra Rao,5.7
André van Heerden,5.1
"Pascal Arnold, Jean-Marc Barr",5.6
Peter Watkins,8
Gary Jones,3.8
Wes Craven,5
David McNally,4.4
Stavros Tsiolis,7
Carlos Galettini,6.1
Todd Turner,3.8
Paolo Benvenuti,6.9
Paul Harather,6.4
Dale Trevillion,5
Carl Franklin,6.4
K. Raghavendra Rao,5.5
Christopher Payne,4.1
Yoshimitsu Morita,6.3
Eckhart Schmidt,5.2
K. Raghavendra Rao,7.2
Helvecio Ratton,6.4
Jonas Elmer,5.1
Tjebbo Penning,6.3
Dang Nhat Minh,7.4
Andrea Sedlácková,6.3
David Fincher,6.8
Alfonso Rosas Priego hijo,6.8
Louis C.K.,5.3
Per Fly,5.7
Phillip Noyce,7
Troy Miller,6.3
Miguel M. Delgado,6.3
Andrew Niccol,6.1
K. Raghavendra Rao,7
André Téchiné,6.7
Kieth Merrill,8
Nicole Holofcener,6.7
Reza Bagher,5.7
"Giorgio Panariello, Gaia Gorrini",4
Ana Carolina,6.7
Doug Liman,7.9
Blair Hayes,5.6
Chi-Leung Law,6.7
S.J. Suryah,7.9
Allan A. Goldstein,3.7
Peter Keglevic,5.5
Stavros Tsiolis,6.3
Lev L. Spiro,4.3
Christian Zübert,7.3
Pawel Pawlikowski,7.2
Takashi Miike,6.9
Paul McGuigan,6.5
Dennis Gansel,5.3
Gordon Chan,6.1
Carl Seaton,6.5
Robert Lee,4.3
Matthew Miller,5.6
Pasquale Scimeca,6.8
Zhangke Jia,7.4
Kamal,7.1
Teresa Kotlarczyk,6.3
Tom McLoughlin,6.7
Robert J. Emery,6
John Henry Davis,5.2
Charles Nemes,5.8
Vera Chytilová,5.3
Pascal Morelli,6.8
Sanjay Khan,6.5
Robert Malenfant,4
Kinuyo Tanaka,7.5
Taraka Rama Rao Nandamuri,8.8
Maryam Shahriar,6.8
Tom Shadyac,6.1
Alain Guiraudie,6.9
Tibor Hernádi,4.8
"Vikas Desai, Aruna Raje",6.9
Mark Steven Johnson,5.2
Artus de Penguern,7
Mónica Laguna,6
Russell Gannon,5.2
Ray Lawrence,7.2
B.N. Reddi,7
Stefanie Sycholt,6.4
Marcello Cesena,6.1
Zabou Breitman,7.2
Samantha Lang,5
Joel Zwick,6.5
Charles Stone III,7.1
M.V. Raman,7.2
A.M. Rathnam,7.1
James D. Deck,4.7
Craig Brewer,6.8
"Ram Mohan, Yûgô Sakô",9
Michael Prywes,5.7
Taraka Rama Rao Nandamuri,6.2
Somaratne Dissanayake,7.1
Giulio Manfredonia,6.1
Matt Cooper,5.5
Nejat Saydam,5.5
Arch Hudson,4.1
M.G. Ramachandran,6.4
Cameron Crowe,6.9
Emilio Martínez Lázaro,6.1
Jingle Ma,5.9
"Li-Kong Hsu, Chi Yin",7.2
Gary Lennon,5.6
"Shyam Ramsay, Tulsi Ramsay",5.2
Jimmy T. Murakami,5.5
Rogério Sganzerla,6.8
Roberto Pires,6.5
"Mamoru Hosoda, Shigeyasu Yamauchi",6.1
Hassan Yektapanah,6.8
Rama Rao Tatineni,5.8
Patrice Leconte,5.8
Gakuryû Ishii,6.3
Rama Rao Tatineni,4.2
"Andrew Lau, Corey Yuen",4.3
"Shyam Ramsay, Tulsi Ramsay",4.2
Jean-François Stévenin,6.3
Philippe Falardeau,7
Jean-Pierre Améris,6.6
Sheldon Wilson,4.3
Rama Rao Tatineni,5.8
"Shyam Ramsay, Tulsi Ramsay",5.2
Gerardo Herrero,6
Frank Longo,5.7
Marzieh Makhmalbaf,7.3
Rogério Sganzerla,6.6
"Shyam Ramsay, Tulsi Ramsay",5.2
Behruz Afkhami,5.3
István Szabó,7.1
Will Zens,2.6
Michael Rissi,4.3
