,title,year,genre,duration,country,language,director,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,votecat,director_avg
1026,Prince of Persia - Le sabbie del tempo,2010,"Action, Adventure, Fantasy",116,USA,English,Mike Newell,6.6,267921,200000000,90759676,336365676,50,477,314,Middle,6.600000000000001
1027,Coffee Date,2006,"Comedy, Romance",91,USA,English,Stewart Wade,6.2,1404,200000,4412,4412,47,16,6,Middle,5.775
1028,Waitress - Ricette d'amore,2007,"Comedy, Drama, Romance",108,USA,English,Adrienne Shelly,7.0,43179,1500000,19074800,22240529,75,216,178,High,6.533333333333334
1029,Che bel pasticcio,2006,"Comedy, Romance",97,USA,English,Claudia Myers,5.2,644,2000000,7196,7196,38,22,6,Middle,5.833333333333333
1030,Shut Up and Sing,2006,"Comedy, Drama, Music",96,USA,English,Bruce Leddy,5.6,618,1000000,1236953,2811468,39,25,21,Middle,5.55
1031,I pirati fannulloni,2008,"Animation, Adventure, Comedy",85,USA,English,Mike Nawrocki,5.7,2569,15000000,12981269,13247725,49,26,36,Middle,5.7
1032,Il buio nell'anima,2007,"Action, Crime, Drama",122,USA,English,Neil Jordan,6.7,57722,70000000,36793804,69787394,56,304,185,High,6.677777777777778
1033,Norbit,2007,"Comedy, Romance",103,USA,English,Brian Robbins,4.1,67266,60000000,95673607,159814490,27,308,128,Middle,5.455555555555556
1034,Premonition,2007,"Drama, Fantasy, Thriller",96,USA,English,Mennan Yapo,5.9,71758,20000000,47852604,84297309,29,369,147,Middle,6.2
1035,Rocket Science,2007,"Comedy, Drama",101,USA,English,Jeffrey Blitz,6.6,12838,6000000,714943,763578,73,55,88,Middle,6.199999999999999
1036,Unstoppable - Fuori controllo,2010,"Action, Thriller",98,USA,English,Tony Scott,6.8,181877,100000000,81562942,167805466,69,371,325,High,6.752941176470588
1037,"Molto forte, incredibilmente vicino",2011,"Adventure, Drama, Mystery",129,USA,English,Stephen Daldry,6.9,96631,40000000,31847881,55247881,46,378,292,High,7.640000000000001
1038,21,2008,"Crime, Drama, History",123,USA,English,Robert Luketic,6.8,225698,35000000,81159365,159808370,48,315,152,High,5.925000000000001
1039,Cthulhu,2007,"Drama, Horror, Thriller",100,USA,English,Dan Gildark,4.6,1919,750000,15213,15213,41,59,29,Middle,4.6
1040,Nightmare Man,2006,"Comedy, Horror, Thriller",89,USA,English,Rolfe Kanefsky,4.0,2240,250000,97182,97182,46,40,34,Middle,4.499999999999999
1041,The Tree of Life,2011,"Drama, Fantasy",139,USA,English,Terrence Malick,6.8,165385,32000000,13303319,58409247,85,1099,616,High,6.822222222222222
1042,Molto incinta,2007,"Comedy, Romance",129,USA,English,Judd Apatow,6.9,345741,30000000,148768917,219922417,85,586,247,High,6.633333333333334
1043,Ant-Man,2015,"Action, Adventure, Comedy",117,USA,English,Peyton Reed,7.3,553758,130000000,180202163,519311965,64,726,585,High,6.550000000000001
1044,Special,2006,"Comedy, Drama, Sci-Fi",81,USA,English,"Hal Haberman, Jeremy Passmore",6.9,5335,1000000,7202,14967,57,42,56,High,6.9
1045,Nancy Drew,2007,"Comedy, Crime, Family",99,USA,English,Andrew Fleming,5.9,19141,20000000,25612520,30666930,53,107,86,Middle,6.1375
1046,Caccia spietata,2006,"Action, Drama, Thriller",115,USA,English,David Von Ancken,6.7,29044,18000000,418296,1220058,62,140,135,High,6.7
1047,Atlas Shrugged: Part I,2011,"Drama, Mystery, Sci-Fi",97,USA,English,Paul Johansson,5.6,12980,20000000,4627375,4627375,28,330,65,Middle,5.6
1048,L'amore secondo Dan,2007,"Comedy, Drama, Romance",98,USA,English,Peter Hedges,6.7,96790,25000000,47642963,68474305,65,278,220,High,6.749999999999999
1049,Io sono leggenda,2007,"Action, Adventure, Drama",101,USA,English,Francis Lawrence,7.2,674397,150000000,256393010,585410052,65,1548,330,High,6.9
1050,Ira & Abby,2006,"Comedy, Romance",104,USA,English,Robert Cary,6.5,2132,3500000,221096,563611,62,24,29,Middle,6.433333333333334
1051,Libera uscita,2011,"Comedy, Romance",105,USA,English,"Bobby Farrelly, Peter Farrelly",5.8,118561,36000000,45060734,86157237,45,174,239,Middle,6.090909090909091
1052,Sapori e dissapori,2007,"Comedy, Drama, Romance",104,USA,English,Scott Hicks,6.3,69523,28000000,43107979,92601050,50,144,175,Middle,6.614285714285714
1053,I Croods,2013,"Animation, Action, Adventure",98,USA,English,"Kirk DeMicco, Chris Sanders",7.2,186660,135000000,187168425,587204668,55,239,272,High,7.2
1054,Space Chimps - Missione spaziale,2008,"Animation, Adventure, Comedy",81,USA,English,Kirk DeMicco,4.5,10639,37000000,30105968,65097693,36,48,78,Middle,4.5
1055,The Strangers,2008,"Horror, Thriller",86,USA,English,Bryan Bertino,6.2,115668,9000000,52597610,82410456,47,809,297,Middle,5.233333333333333
1056,L'uomo dell'anno,2006,"Comedy, Drama, Romance",115,USA,English,Barry Levinson,6.2,31529,20000000,37327390,42472472,39,243,105,Middle,6.426086956521738
1057,Nobel son - Un colpo da Nobel,2007,"Comedy, Crime, Drama",110,USA,English,Randall Miller,6.3,5550,4000000,540382,550782,28,43,58,Middle,6.3
1058,Il risveglio delle tenebre,2007,"Adventure, Drama, Family",99,USA,English,David L. Cunningham,4.8,14655,45000000,8794452,31852619,38,167,106,Middle,5.4
1059,Fred Claus - Un fratello sotto l'albero,2007,"Comedy, Family, Fantasy",116,USA,English,David Dobkin,5.6,38939,100000000,72006777,97838349,42,137,142,Middle,6.500000000000001
1060,Fanboys,2009,"Adventure, Comedy, Drama",90,USA,English,Kyle Newman,6.6,55643,3900000,688529,961203,45,75,78,Middle,6.0
1061,The Living Wake,2007,Comedy,91,USA,English,Sol Tryon,6.3,861,500000,12232,12232,37,10,27,Middle,6.3
1062,My Name Is Bruce,2007,"Comedy, Fantasy, Horror",84,USA,English,Bruce Campbell,6.2,23435,1500000,173066,173066,36,93,108,Middle,5.9
1063,La notte dei morti viventi,2006,Horror,80,USA,English,Jeff Broadstreet,3.1,3394,750000,271000,1657729,32,65,49,Low,3.3200000000000003
1064,Stop-Loss,2008,"Drama, War",112,USA,English,Kimberly Peirce,6.4,19506,25000000,10915744,11212953,61,104,145,Middle,6.6000000000000005
1065,Strange Wilderness,2008,"Adventure, Comedy",87,USA,English,Fred Wolf,5.3,20765,20000000,6575282,6964734,12,129,58,Middle,5.279999999999999
1066,L'amore si fa largo,2006,Comedy,99,USA,English,Nnegest Likké,3.2,8662,3000000,7061128,7403491,36,97,36,Low,3.2
1067,Reign Over Me,2007,Drama,124,USA,English,Mike Binder,7.4,92247,20000000,19661987,22242388,61,242,156,High,6.13
1068,Something Borrowed - L'amore non ha regole,2011,"Comedy, Drama, Romance",112,USA,English,Luke Greenfield,5.9,56809,35000000,39046489,65100369,36,183,133,Middle,5.949999999999999
1069,Spiral,2007,"Drama, Thriller",90,USA,English,"Adam Green, Joel David Moore",6.4,3543,600000,3072,3072,40,38,45,Middle,6.4
1070,Cambio di gioco,2007,"Comedy, Family, Sport",110,USA,English,Andy Fickman,6.1,57633,22000000,90648202,147880543,44,91,116,Middle,5.614285714285714
1071,Ramona and Beezus,2010,"Comedy, Drama, Family",104,USA,English,Elizabeth Allen Rosenbaum,6.5,16955,15000000,26167002,27293743,56,55,79,Middle,5.9
1072,A casa con i miei,2008,"Comedy, Romance",104,USA,English,Malcolm D. Lee,5.5,13315,35000000,42436517,43655418,46,45,74,Middle,6.111111111111112
1073,Tutti i numeri del sesso,2007,"Comedy, Drama, Fantasy",117,USA,English,Daniel Waters,6.0,10593,5000000,23624,1229330,24,29,41,Middle,5.75
1074,The Ring 3,2017,"Drama, Horror, Mystery",102,USA,English,F. Javier Gutiérrez,4.5,36918,25000000,27793018,83080890,25,223,210,Middle,4.5
1075,Reno 911!: Miami,2007,"Comedy, Crime",80,USA,English,Robert Ben Garant,5.9,26072,10000000,20342161,22021262,47,78,88,Middle,5.6
1076,Il matrimonio di mia sorella,2007,"Comedy, Drama",93,USA,English,Noah Baumbach,6.0,19264,10000000,1959420,2900156,66,119,185,Middle,6.7272727272727275
1077,Chalk,2006,"Comedy, Drama",85,USA,English,Mike Akel,6.2,1296,10000,302845,302845,70,30,26,Middle,6.2
1078,Amore & altri rimedi,2010,"Comedy, Drama, Romance",112,USA,English,Edward Zwick,6.7,177021,30000000,32367005,102820008,55,250,226,High,6.976923076923077
1079,Scrivimi una canzone,2007,"Comedy, Music, Romance",104,USA,English,Marc Lawrence,6.5,95415,40000000,50572589,145896422,59,303,166,Middle,5.766666666666667
1080,We Are Marshall,2006,"Drama, Sport",131,USA,English,McG,7.1,56474,65000000,43545364,43545364,53,186,89,High,6.0
1081,Un uomo qualunque,2007,"Drama, Romance, Thriller",100,USA,English,Frank A. Cappello,6.8,21795,600000,2431,83440,53,90,50,High,5.866666666666667
1082,5 appuntamenti per farla innamorare,2009,"Comedy, Romance",98,USA,English,Nia Vardalos,4.7,8128,3000000,11004,4243957,17,51,34,Middle,4.7
1083,Io vi dichiaro marito e... marito,2007,"Comedy, Romance",115,USA,English,Dennis Dugan,5.9,139443,85000000,120059556,187134117,37,265,176,Middle,5.7857142857142865
1084,Nativity,2006,"Drama, Family, History",101,USA,English,Catherine Hardwicke,6.8,9747,35000000,37629831,46432264,52,215,124,High,6.1499999999999995
1085,Una bugia di troppo,2012,"Comedy, Drama",91,USA,English,Brian Robbins,5.9,39649,40000000,18450127,24397992,26,116,73,Middle,5.455555555555556
1086,Brothers,2009,"Action, Drama, Thriller",105,USA,English,Jim Sheridan,7.1,109275,26000000,28544157,43474578,58,232,221,High,7.033333333333334
1087,Cover,2007,"Drama, Thriller",98,USA,English,Bill Duke,5.5,543,3600000,79436,79436,30,9,9,Middle,5.925
1088,Piacere Dave,2008,"Adventure, Comedy, Family",90,USA,English,Brian Robbins,5.0,37879,60000000,11803254,51339567,43,122,128,Middle,5.455555555555556
1089,Day Zero,2007,Drama,92,USA,English,Bryan Gunnar Cole,5.9,2709,2000000,16659,16659,41,22,34,Middle,5.9
1090,(S)ex list,2011,"Comedy, Romance",106,USA,English,Mark Mylod,6.1,71429,20000000,14011084,30426096,35,107,149,Middle,6.233333333333334
1091,Tutti pazzi per l'oro,2008,"Action, Adventure, Comedy",112,USA,English,Andy Tennant,5.7,72455,70000000,70231041,111231041,29,158,179,Middle,6.180000000000001
1092,Tennessee,2008,"Adventure, Comedy, Drama",99,USA,English,Aaron Woodley,5.4,745,4000000,16100,16100,42,9,13,Middle,5.42
1093,Grace Is Gone,2007,"Drama, War",85,USA,English,Jim Strouse,6.7,9016,2000000,50899,1080022,65,49,89,High,6.675000000000001
1094,Illegal Tender,2007,"Crime, Drama, Thriller",108,USA,English,Franc. Reyes,5.5,2488,8000000,3106835,3106835,40,29,30,Middle,5.0
1095,Stepping - Dalla strada al palcoscenico,2007,"Drama, Music, Romance",115,USA,English,Sylvain White,5.4,21578,13000000,61356221,75511123,44,168,84,Middle,5.1499999999999995
1096,Daddy's Little Girls,2007,"Drama, Romance",100,USA,English,Tyler Perry,5.7,6917,10000000,31366978,31609243,49,60,31,Middle,4.972222222222222
1097,Canvas,2006,Drama,101,USA,English,Joseph Greco,6.5,977,1500000,35630,41010,67,28,33,Middle,6.5
1098,Stanno tutti bene - Everybody's Fine,2009,Drama,100,USA,English,Kirk Jones,7.1,58117,21000000,9208876,16443609,47,133,162,High,6.519999999999999
1099,Kid Cannabis,2014,"Biography, Comedy, Crime",110,USA,English,John Stockwell,6.4,9344,5000000,5565,5565,54,35,19,Middle,5.328571428571429
1100,Mr. Brooks,2007,"Crime, Drama, Thriller",120,USA,English,Bruce A. Evans,7.3,141465,20000000,28549298,48443734,45,391,220,High,6.6
1101,Redline,2007,Action,102,USA,English,Andy Cheng,4.0,8510,26000000,6881022,8267379,24,104,32,Middle,4.55
1102,Signal,2007,"Horror, Sci-Fi, Thriller",103,USA,English,"David Bruckner, Dan Bush",6.0,20201,50000,251150,1040386,63,125,143,Middle,6.0
1103,The Education of Charlie Banks,2007,Drama,100,USA,English,Fred Durst,6.6,4856,5000000,15078,15078,50,29,28,Middle,5.3999999999999995
1104,Era mio figlio,2019,"Drama, War",116,USA,English,Todd Robinson,6.7,5449,20000000,2949212,3364426,51,163,44,High,6.333333333333333
1105,I fratelli Solomon,2007,Comedy,93,USA,English,Bob Odenkirk,5.3,10466,10000000,900926,1035056,32,47,55,Middle,6.033333333333334
1106,La sposa fantasma,2008,"Comedy, Fantasy, Romance",95,USA,English,Jeff Lowell,5.2,23640,10000000,7563670,21458111,30,57,99,Middle,5.2
1107,Who's Your Caddy?,2007,"Comedy, Sport",93,USA,English,Don Michael Paul,2.2,14493,7000000,5713425,5713425,18,48,25,Low,4.016666666666667
1108,Boxtrolls - Le scatole magiche,2014,"Animation, Adventure, Comedy",96,USA,English,"Graham Annable, Anthony Stacchi",6.8,53484,60000000,50837305,108255770,61,143,237,High,6.8
1109,Everybody Wants to Be Italian,2007,"Comedy, Romance",105,USA,English,Jason Todd Ipson,5.8,1758,3000000,351416,532726,26,12,14,Middle,5.4
1110,Jack Reacher - La prova decisiva,2012,"Action, Thriller",130,USA,English,Christopher McQuarrie,7.0,301986,60000000,80070736,218340595,50,531,412,High,7.2
1111,R.I.P.D. - Poliziotti dall'aldilà,2013,"Action, Adventure, Comedy",96,USA,English,Robert Schwentke,5.6,115892,130000000,33618855,78324220,25,254,216,Middle,6.500000000000001
1112,Il peggior allenatore del mondo,2007,"Comedy, Sport",84,USA,English,Tom Brady,4.3,10934,20000000,13349927,13539154,25,47,50,Middle,4.333333333333333
1113,"Donne, regole... e tanti guai!",2007,"Comedy, Drama",113,USA,English,Garry Marshall,5.8,23695,20000000,19103072,25000167,25,130,85,Middle,6.01111111111111
1114,Cuori di vetro,2009,"Drama, Romance",99,USA,English,Bill Duke,6.1,2735,5000000,10572742,10726909,43,23,41,Middle,5.925
1115,You Kill Me,2007,"Comedy, Crime, Romance",93,USA,English,John Dahl,6.5,17665,4000000,2429367,3748295,64,77,126,Middle,6.675000000000001
1116,Epic Movie,2007,"Adventure, Comedy",86,USA,English,"Jason Friedberg, Aaron Seltzer",2.4,100874,20000000,39739367,87238158,17,688,114,Low,3.114285714285714
1117,Le colline hanno gli occhi 2,2007,"Horror, Thriller",89,USA,English,Martin Weisz,5.1,59890,15000000,20804166,37697773,32,227,165,Middle,5.199999999999999
1118,Thor,2011,"Action, Adventure, Fantasy",115,USA,English,Kenneth Branagh,7.0,731043,150000000,181030624,449326618,57,917,563,High,6.582352941176471
1119,Death Sentence,2007,"Action, Crime, Drama",105,USA,English,James Wan,6.8,68198,20000000,9534258,16974459,36,343,176,High,6.977777777777778
1120,5 giorni fuori,2010,"Comedy, Drama, Romance",101,USA,English,"Anna Boden, Ryan Fleck",7.1,132502,8000000,6363628,6491240,63,190,156,High,6.9
1121,Affrontando i giganti,2006,"Drama, Fantasy, Sport",111,USA,English,Alex Kendrick,6.6,15643,100000,10178331,10307987,38,413,30,Middle,6.6499999999999995
1122,Perdona e dimentica,2009,"Comedy, Drama",98,USA,English,Todd Solondz,6.4,6782,4500000,281447,807162,69,33,153,Middle,6.6
1123,Jack e Jill,2011,Comedy,91,USA,English,Dennis Dugan,3.3,76576,79000000,74158157,149673788,23,356,162,Low,5.7857142857142865
1124,The Last Sin Eater,2007,Drama,117,USA,English,Michael Landon Jr.,5.6,1757,2200000,388390,388390,37,33,18,Middle,6.16
1125,Turn the River,2007,Drama,92,USA,English,Chris Eigeman,5.8,1704,500000,5149,5149,55,12,20,Middle,5.8
1126,The Hammer,2007,"Comedy, Romance, Sport",88,USA,English,Charles Herman-Wurmfeld,7.2,5842,850000,443591,443591,57,26,33,High,6.133333333333333
1127,Davanti agli occhi,2007,"Drama, Fantasy, Mystery",90,USA,English,Vadim Perelman,6.3,13505,13000000,303439,7248490,38,82,78,Middle,6.5
1128,Sydney White - Biancaneve al college,2007,"Comedy, Drama, Romance",108,USA,English,Joe Nussbaum,6.2,45476,16500000,11892415,13620075,45,57,71,Middle,5.666666666666667
1129,Il primo amore non si scorda mai,2010,"Comedy, Drama, Romance",90,USA,English,Rob Reiner,7.7,79816,14000000,1755212,4225921,45,175,78,High,6.805
1130,Drillbit Taylor,2008,"Action, Comedy, Crime",110,USA,English,Steven Brill,5.7,57547,40000000,32862104,49944325,41,112,144,Middle,5.787500000000001
1131,Io & Marley,2008,"Comedy, Drama, Family",111,USA,English,David Frankel,7.1,144191,60000000,143153751,255743093,53,347,184,High,6.485714285714285
1132,Priest,2011,"Action, Horror, Thriller",87,USA,English,Scott Stewart,5.7,113397,60000000,29137000,78309505,41,274,202,Middle,5.733333333333333
1133,Shooter,2007,"Action, Drama, Thriller",124,USA,English,Antoine Fuqua,7.2,305429,61000000,47003582,95696996,53,377,203,High,6.766666666666667
1134,Changeling,2008,"Biography, Crime, Drama",141,USA,English,Clint Eastwood,7.7,233510,55000000,35739802,113398237,63,438,275,High,6.989473684210527
1135,Non è mai troppo tardi,2007,"Comedy, Drama",97,USA,English,Rob Reiner,7.4,226825,45000000,93466502,175372502,42,368,203,High,6.805
1136,Honeydripper,2007,"Crime, Drama, History",124,USA,English,John Sayles,6.6,1889,5000000,267880,544925,68,29,70,Middle,6.786666666666665
1137,Suxbad: Tre menti sopra il pelo,2007,Comedy,113,USA,English,Greg Mottola,7.6,511454,20000000,121463226,170812526,76,660,268,High,6.840000000000001
1138,Sherman's Way,2008,Comedy,97,USA,English,Craig M. Saavedra,5.4,515,250000,13282,13282,43,6,16,Middle,5.4
1139,Hotel Transylvania,2012,"Animation, Comedy, Family",91,USA,English,Genndy Tartakovsky,7.1,218566,85000000,148313048,358375603,47,226,275,High,7.125
1140,House,2008,Horror,88,USA,English,Robby Henson,4.6,5519,2500000,575048,1141018,24,76,49,Middle,5.5
1141,After.Life,2009,"Drama, Mystery, Thriller",104,USA,English,Agnieszka Wojtowicz-Vosloo,5.9,35853,4500000,108595,2425535,36,158,141,Middle,5.9
1142,Semi-Pro,2008,"Comedy, Sport",91,USA,English,Kent Alterman,5.8,77449,55000000,33479698,44004502,47,131,165,Middle,5.8
1143,The Town,2010,"Crime, Drama, Thriller",125,USA,English,Ben Affleck,7.5,344976,37000000,92186262,154026136,74,510,394,High,7.300000000000001
1144,Un nuovo marito per mamma,2007,"Comedy, Family, Fantasy",96,USA,English,Lance Rivera,4.5,2821,20000000,5812781,5812781,32,22,30,Middle,4.1
1145,Walk Hard - La storia di Dewey Cox,2007,"Comedy, Drama, Music",96,USA,English,Jake Kasdan,6.8,66276,35000000,18317151,20576198,63,228,169,High,6.3375
1146,Finishing the Game: The Search for a New Bruce Lee,2007,Comedy,84,USA,English,Justin Lin,6.0,1734,500000,52868,53570,46,12,34,Middle,6.625
1147,The Collector,2009,"Action, Crime, Horror",90,USA,English,Marcus Dunstan,6.4,56836,6000000,7712114,10234475,29,234,156,Middle,6.1000000000000005
1148,College,2008,Comedy,94,USA,English,Deb Hagan,4.6,12008,7000000,4694636,6265483,15,83,42,Middle,4.6
1149,Epic - Il mondo segreto,2013,"Animation, Adventure, Family",102,USA,English,Chris Wedge,6.7,98588,100000000,107518682,268426634,52,132,214,High,6.15
1150,La coniglietta di casa,2008,"Comedy, Romance",97,USA,English,Fred Wolf,5.5,78215,25000000,48237389,70439696,55,149,132,Middle,5.279999999999999
1151,Super Troopers 2,2018,"Comedy, Crime, Mystery",100,USA,English,Jay Chandrasekhar,6.0,23256,13500000,30617396,31626386,41,207,93,Middle,5.8
1152,Touching Home,2008,"Drama, Sport",108,USA,English,"Logan Miller, Noah Miller",5.8,685,2000000,116353,116353,52,16,12,Middle,6.0
1153,Mr. Peabody e Sherman,2014,"Animation, Adventure, Comedy",92,USA,English,Rob Minkoff,6.8,61042,145000000,111506430,275698039,59,161,204,High,6.033333333333332
1154,Baby Mama,2008,"Comedy, Romance",99,USA,English,Michael McCullers,6.0,41704,30000000,60494212,64444713,55,110,147,Middle,6.0
1155,My Soul to Take - Il cacciatore di anime,2010,"Horror, Mystery, Thriller",107,USA,English,Wes Craven,4.8,19298,25000000,14744435,21500813,25,146,164,Middle,5.885
1156,Red State,2011,"Action, Crime, Horror",88,USA,English,Kevin Smith,6.2,61377,4000000,1104682,1874460,50,306,288,Middle,6.4
1157,Lake City,2008,"Crime, Drama",93,USA,English,"Hunter Hill, Perry Moore",5.8,817,4000000,12767,12767,29,16,19,Middle,5.8
1158,The Blind Side,2009,"Biography, Drama, Sport",129,USA,English,John Lee Hancock,7.6,286037,29000000,255959475,309208309,53,509,274,High,7.016666666666667
1159,Please Give,2010,"Comedy, Drama",87,USA,English,Nicole Holofcener,6.6,10928,3000000,4033574,4313829,78,54,135,Middle,6.483333333333334
1160,Nella rete del serial killer,2008,"Crime, Mystery, Thriller",101,USA,English,Gregory Hoblit,6.2,46812,35000000,28687835,52933513,32,267,196,Middle,6.95
1161,The Mist,2007,"Horror, Sci-Fi, Thriller",126,USA,English,Frank Darabont,7.1,275928,18000000,25594957,57470220,58,1195,362,High,7.975
1162,Due cuori e una provetta,2010,"Comedy, Drama, Romance",101,USA,English,"Josh Gordon, Will Speck",6.1,95518,19000000,27779426,49843011,52,139,186,Middle,6.066666666666666
1163,Leoni per agnelli,2007,"Crime, Drama, Mystery",92,USA,English,Robert Redford,6.2,46840,35000000,15002854,64811540,47,308,230,Middle,6.888888888888889
1164,Dragon Trainer,2010,"Animation, Action, Adventure",98,USA,English,"Dean DeBlois, Chris Sanders",8.1,651499,165000000,217581231,494878759,75,634,311,High,7.65
1165,Mostri contro alieni,2009,"Animation, Action, Adventure",94,USA,English,"Rob Letterman, Conrad Vernon",6.4,144198,175000000,198351526,381509870,56,210,231,Middle,6.4
1166,Shrek e vissero felici e contenti,2010,"Animation, Adventure, Comedy",93,USA,English,Mike Mitchell,6.3,180304,165000000,238736787,752600867,58,213,219,Middle,5.75
1167,Il nome del mio assassino,2007,"Crime, Drama, Mystery",106,USA,English,Chris Sivertson,3.6,25732,12000000,7498716,9669758,16,281,145,Middle,4.840000000000001
1168,The Road,2009,Drama,111,USA,English,John Hillcoat,7.2,219723,25000000,8117000,27639579,64,572,370,High,6.783333333333332
1169,Bride Wars - La mia migliore nemica,2009,"Comedy, Romance",89,USA,English,Gary Winick,5.5,98848,30000000,58715510,115375850,24,145,159,Middle,5.7
1170,I Sell the Dead,2008,"Comedy, Horror",85,USA,English,Glenn McQuaid,6.1,10332,750000,8050,8050,62,53,110,Middle,6.1
1171,Love & Mercy,2014,"Biography, Drama, Music",121,USA,English,Bill Pohlad,7.4,35291,10000000,12551031,28641776,80,161,274,High,7.4
1172,Why Did I Get Married?,2007,"Comedy, Drama",113,USA,English,Tyler Perry,5.9,11974,15000000,55204525,55862886,54,104,42,Middle,4.972222222222222
1173,WALL·E,2008,"Animation, Adventure, Family",98,USA,English,Andrew Stanton,8.4,974734,180000000,223808164,521311860,95,1287,269,High,7.5
1174,Blindato,2009,"Action, Crime, Thriller",88,USA,English,Nimród Antal,5.7,29450,20000000,15988876,22942221,50,118,114,Middle,6.640000000000001
1175,Il dubbio,2008,"Drama, Mystery",104,USA,English,John Patrick Shanley,7.5,119838,20000000,33446470,51699984,68,402,297,High,6.65
1176,Rabbit Hole,2010,Drama,91,USA,English,John Cameron Mitchell,7.0,46814,5000000,2229058,5144717,76,157,246,High,6.7
1177,This Christmas,2007,"Comedy, Drama, Romance",117,USA,English,Preston A. Whitmore II,6.3,8102,13000000,49121934,49778552,63,34,36,Middle,4.6
1178,L'ultimo dominatore dell'aria,2010,"Action, Adventure, Family",103,USA,English,M. Night Shyamalan,4.0,149673,150000000,131772187,319713881,20,1577,291,Middle,6.053846153846154
1179,La terrazza sul lago,2008,"Crime, Drama, Thriller",110,USA,English,Neil LaBute,6.1,48133,20000000,39263506,44655002,47,138,157,Middle,5.880000000000001
1180,The Amazing Spider-Man,2012,"Action, Adventure, Sci-Fi",136,USA,English,Marc Webb,6.9,550033,230000000,262030663,757930663,66,1339,626,High,7.0200000000000005
1181,3 donne al verde,2008,"Comedy, Crime, Thriller",104,USA,English,Callie Khouri,5.8,20218,22000000,20668843,26412163,41,61,95,Middle,5.949999999999999
1182,The Yellow Handkerchief,2008,"Drama, Romance",102,USA,English,Udayan Prasad,6.7,8109,15500000,318623,318623,62,45,59,High,6.26
1183,I dieci comandamenti,2007,"Animation, Family",88,USA,English,"Bill Boyce, John Stronach",2.9,2229,10000000,952820,1051907,25,30,20,Low,3.8
1184,The Black Waters of Echo's Pond,2009,"Fantasy, Horror, Thriller",89,USA,English,Gabriel Bologna,4.4,1104,5000000,224409,224409,31,27,55,Middle,4.333333333333333
1185,Adventures of Power,2008,"Comedy, Music",89,USA,English,Ari Gold,5.9,1844,2500000,17419,17419,39,12,45,Middle,5.95
1186,Racconti incantati,2008,"Comedy, Family, Fantasy",99,USA,English,Adam Shankman,6.0,86813,80000000,110101975,212874864,33,133,149,Middle,5.9
1187,Holding Trevor,2007,"Drama, Romance",88,USA,English,Rosser Goodman,5.5,1362,55000,16814,16814,36,14,14,Middle,5.6
1188,Un segreto tra di noi,2008,Drama,120,USA,English,Dennis Lee,6.5,12322,8000000,70600,6692182,34,57,70,Middle,6.45
1189,High School Musical 3: Senior Year,2008,"Comedy, Drama, Family",112,USA,English,Kenny Ortega,4.8,56762,11000000,90559416,252909177,57,189,131,Middle,6.233333333333333
1190,Repo! The Genetic Opera,2008,"Horror, Musical, Sci-Fi",98,USA,English,Darren Lynn Bousman,6.6,23253,8500000,146750,188126,32,283,139,Middle,5.700000000000001
1191,The Fighter,2010,"Biography, Drama, Sport",116,USA,English,David O. Russell,7.8,334145,25000000,93617009,129190869,79,447,416,High,6.666666666666668
1192,Pathology,2008,"Crime, Thriller",95,USA,English,Marc Schölermann,6.0,30956,8000000,109846,3234706,55,127,78,Middle,6.0
1193,The Merry Gentleman,2008,"Crime, Drama, Thriller",110,USA,English,Michael Keaton,6.5,2868,5000000,347977,347977,55,32,59,Middle,6.5
1194,The Conspirator,2010,"Crime, Drama, History",122,USA,English,Robert Redford,6.9,27408,25000000,11538204,15625544,55,152,203,High,6.888888888888889
1195,Ember - Il mistero della città di luce,2008,"Adventure, Family, Fantasy",90,USA,English,Gil Kenan,6.5,62073,55000000,7873007,17929684,58,124,123,Middle,6.0
1196,A Perfect Getaway - Una perfetta via di fuga,2009,"Drama, Mystery, Thriller",98,USA,English,David Twohy,6.5,66624,14000000,15515460,22955544,63,254,104,Middle,6.514285714285714
1197,Red,2008,"Drama, Thriller",93,USA,English,"Trygve Allister Diesen, Lucky McKee",7.0,10005,2500000,4643,15617,61,54,66,High,7.0
1198,17 again - Ritorno al liceo,2009,"Comedy, Drama, Fantasy",102,USA,English,Burr Steers,6.3,176232,20000000,64167069,136316880,48,225,194,Middle,6.35
1199,Bandslam - High School Band,2009,"Comedy, Drama, Family",111,USA,English,Todd Graff,6.3,13652,20000000,5210988,12225023,66,44,78,Middle,6.066666666666666
1200,"Surfer, Dude",2008,Comedy,85,USA,English,S.R. Bindler,4.7,8268,6000000,52132,52132,16,42,20,Middle,4.7
1201,Lottery Ticket,2010,Comedy,99,USA,English,Erik White,5.0,10357,17000000,24719879,24719879,50,29,62,Middle,4.65
1202,The Lucky Ones - Un viaggio inaspettato,2008,"Comedy, Drama, War",115,USA,English,Neil Burger,6.9,13382,15000000,266967,287567,53,37,56,High,7.0
1203,Nick & Norah - Tutto accadde in una notte,2008,"Comedy, Drama, Music",90,USA,English,Peter Sollett,6.6,87587,10000000,31487293,33556631,64,157,169,Middle,6.8
1204,Fantasy Island,2020,"Action, Adventure, Fantasy",109,USA,English,Jeff Wadlow,4.9,26823,7000000,26441782,47315959,22,635,154,Middle,5.816666666666666
