,title,year,genre,duration,country,language,director,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,votecat,director_avg
642,Gods and Generals,2003,"Biography, Drama, History",219,USA,English,Ron Maxwell,6.4,15189,56000000,12882934,12923936,30,509,76,Middle,6.366666666666666
643,On the Line,2001,"Comedy, Family, Romance",85,USA,English,Eric Bross,4.2,3955,16000000,4365455,4544601,34,78,45,Middle,5.38
644,Undercover Brother,2002,"Action, Comedy",86,USA,English,Malcolm D. Lee,5.8,33080,25000000,39089928,41604473,69,191,73,Middle,6.111111111111112
645,I sublimi segreti delle Ya-Ya Sisters,2002,Drama,116,USA,English,Callie Khouri,6.1,17846,27000000,69599016,73839240,48,199,95,Middle,5.949999999999999
646,Joe Somebody,2001,"Comedy, Drama",98,USA,English,John Pasquin,5.5,9857,38000000,22771646,24516772,42,87,52,Middle,5.574999999999999
647,Amy's O - Finalmente l'amore,2001,"Comedy, Romance",87,USA,English,Julie Davis,5.2,1669,500000,119664,119664,36,40,16,Middle,5.5
648,Due amiche esplosive,2002,"Comedy, Drama",98,USA,English,Bob Dolman,5.6,14272,10000000,30307416,38068353,48,151,93,Middle,5.449999999999999
649,Better Luck Tomorrow,2002,"Crime, Drama, Romance",101,USA,English,Justin Lin,7.0,8978,250000,3802390,3809226,67,135,50,High,6.625
650,Mr. Deeds,2002,"Comedy, Romance",96,USA,English,Steven Brill,5.8,133994,50000000,126293452,171269535,24,315,120,Middle,5.787500000000001
651,Soldifacili.com,2002,Comedy,105,USA,English,Mick Jackson,5.6,3019,17000000,5491,5491,20,31,7,Middle,6.128571428571429
652,Igby Goes Down,2002,"Comedy, Drama",98,USA,English,Burr Steers,6.9,31680,9000000,4777465,6919198,72,234,128,High,6.35
653,I passi dell'amore,2002,"Drama, Romance",101,USA,English,Adam Shankman,7.4,196585,11800000,41281092,47494916,35,1017,81,High,5.9
654,La famiglia della giungla,2002,"Animation, Adventure, Comedy",85,USA,English,"Cathy Malkasian, Jeff McGrath",5.6,13880,25000000,40108697,60694737,69,35,38,Middle,5.6
655,Una vita quasi perfetta,2002,"Comedy, Romance",103,USA,English,Stephen Herek,5.8,22866,40000000,14448589,16872671,31,125,87,Middle,6.092307692307691
656,Spun,2002,"Comedy, Crime, Drama",101,USA,English,Jonas Åkerlund,6.8,36481,2000000,411119,685608,41,204,84,High,6.3
657,Swimfan - La piscina della paura,2002,"Drama, Thriller",85,USA,English,John Polson,5.1,18771,10000000,28564995,34411240,29,216,88,Middle,5.775
